ID,Cell,Batch,Group,ExpLibSize,sizeFactor
Cell101,Cell101,Batch1,Group1,53487.623376723,0.846869494819938
Cell102,Cell102,Batch1,Group4,60277.3606013466,0.890008311239882
Cell103,Cell103,Batch1,Group6,63408.2191128938,0.93516371406689
Cell104,Cell104,Batch1,Group10,76183.3246310459,1.24637946109648
Cell105,Cell105,Batch1,Group4,75529.6531632065,0.968155067686481
Cell106,Cell106,Batch1,Group1,71633.2327518324,1.1483733617131
Cell107,Cell107,Batch1,Group9,52537.6926728147,0.836722032019585
Cell108,Cell108,Batch1,Group2,53920.0054603841,0.851047861855377
Cell109,Cell109,Batch1,Group10,56577.267360547,0.920482965023454
Cell110,Cell110,Batch1,Group4,62494.2619573403,1.01523026077302
Cell111,Cell111,Batch1,Group3,68005.8256203069,1.08663355227439
Cell112,Cell112,Batch1,Group3,66359.3112625213,1.25059009351444
Cell113,Cell113,Batch1,Group10,58693.5962592093,0.939535673397408
Cell114,Cell114,Batch1,Group5,52236.0260155618,0.834560251391211
Cell115,Cell115,Batch1,Group8,61030.5913108423,1.00513119604643
Cell116,Cell116,Batch1,Group1,72116.6600539049,1.16878121615261
Cell117,Cell117,Batch1,Group3,62170.8401000012,1.17646037719071
Cell118,Cell118,Batch1,Group10,55473.9637691568,0.893492972551291
Cell119,Cell119,Batch1,Group2,53590.5272633794,0.87289152581671
Cell120,Cell120,Batch1,Group10,47709.0664300678,0.778353955053483
Cell121,Cell121,Batch1,Group1,64294.1747725686,1.03436363260325
Cell122,Cell122,Batch1,Group10,43089.6270136891,0.703595063770754
Cell123,Cell123,Batch1,Group1,61106.4161914884,0.968671313806689
Cell124,Cell124,Batch1,Group2,55086.7491063333,0.918063061334976
Cell125,Cell125,Batch1,Group4,95386.5048919803,1.593877630762
Cell126,Cell126,Batch1,Group8,71589.4741916099,1.31328173173729
Cell127,Cell127,Batch1,Group1,68741.953733842,1.11512388503341
Cell128,Cell128,Batch1,Group10,55332.7217175094,0.896590449272543
Cell129,Cell129,Batch1,Group8,57634.3385165713,0.913368448179327
Cell130,Cell130,Batch1,Group1,35648.3727258697,0.588165657830329
Cell131,Cell131,Batch1,Group5,47659.8893999222,0.782935639370336
Cell132,Cell132,Batch1,Group5,59435.1337197274,0.947537488260644
Cell133,Cell133,Batch1,Group9,49702.6919119057,0.705305129043945
Cell134,Cell134,Batch1,Group9,32215.4909688024,0.573807562612023
Cell135,Cell135,Batch1,Group1,58148.5418309011,0.926694051157216
Cell136,Cell136,Batch1,Group7,70385.4387809371,1.284146091328
Cell137,Cell137,Batch1,Group5,53650.8226054151,0.910948544490849
Cell138,Cell138,Batch1,Group3,93968.0813095065,1.34620855459185
Cell139,Cell139,Batch1,Group9,49685.2639029429,0.647179042446692
Cell140,Cell140,Batch1,Group8,39331.7891335772,0.581244733281281
Cell141,Cell141,Batch1,Group6,50358.631352337,0.701449415833636
Cell142,Cell142,Batch1,Group3,58531.052615561,0.995499979366288
Cell143,Cell143,Batch1,Group7,93455.4785454137,1.59374856923194
Cell144,Cell144,Batch1,Group2,63968.3810109625,0.946101678738813
Cell145,Cell145,Batch1,Group10,48546.7895606688,0.788985398591532
Cell146,Cell146,Batch1,Group3,58818.154715994,1.01584330304076
Cell147,Cell147,Batch1,Group1,56045.9816600803,0.91414281735964
Cell148,Cell148,Batch1,Group10,75853.6008165442,1.22600387203949
Cell149,Cell149,Batch1,Group10,53164.0181619365,0.834640914847493
Cell150,Cell150,Batch1,Group3,58040.7275453439,0.958943300979006
Cell151,Cell151,Batch1,Group2,66075.4338994555,1.00987420727585
Cell152,Cell152,Batch1,Group9,70433.175731127,0.985659037699808
Cell153,Cell153,Batch1,Group2,76062.699305739,1.33293134968773
Cell154,Cell154,Batch1,Group1,48621.1081160192,0.785581400736406
Cell155,Cell155,Batch1,Group3,74391.6554360762,1.27077209027635
Cell156,Cell156,Batch1,Group9,52804.8131634155,0.817088546760396
Cell157,Cell157,Batch1,Group9,42067.5040555997,0.691753668388466
Cell158,Cell158,Batch1,Group1,44324.3414397893,0.74152302091484
Cell159,Cell159,Batch1,Group3,53482.3454886839,0.86430893406824
Cell160,Cell160,Batch1,Group6,44825.3831188174,0.712790697786972
Cell161,Cell161,Batch1,Group1,58912.0177891168,0.940552032946569
Cell162,Cell162,Batch1,Group6,43426.9672200163,0.870407091363206
Cell163,Cell163,Batch1,Group4,76490.627100668,1.17899320971798
Cell164,Cell164,Batch1,Group4,43961.3095160936,0.863357105284105
Cell165,Cell165,Batch1,Group3,85396.6098777654,1.32391317527533
Cell166,Cell166,Batch1,Group2,81375.7121917476,1.31886364291204
Cell167,Cell167,Batch1,Group1,72540.5439506716,1.1505996731065
Cell168,Cell168,Batch1,Group6,41581.6235418289,0.654987265014849
Cell169,Cell169,Batch1,Group6,81915.9649536062,1.27704770717513
Cell170,Cell170,Batch1,Group4,48370.2310065609,0.809602978017369
Cell171,Cell171,Batch1,Group1,49108.8043486086,0.792776581036815
Cell172,Cell172,Batch1,Group7,60805.0887242519,0.872601137374093
Cell173,Cell173,Batch1,Group4,59240.8192567077,0.782790445149027
Cell174,Cell174,Batch1,Group3,60862.2093820353,1.06236998462458
Cell175,Cell175,Batch1,Group10,76611.8206163285,1.22866576609682
Cell176,Cell176,Batch1,Group3,67083.5700042612,1.17562147724537
Cell177,Cell177,Batch1,Group2,105551.446471231,1.83448058816179
Cell178,Cell178,Batch1,Group10,102400.534456026,1.66881398164855
Cell179,Cell179,Batch1,Group3,62674.6336737646,0.968542252276637
Cell180,Cell180,Batch1,Group2,54049.5410272271,0.895606355105895
Cell181,Cell181,Batch1,Group3,78068.2961851135,1.20922587313271
Cell182,Cell182,Batch1,Group4,65933.5977527163,1.07667968176911
Cell183,Cell183,Batch1,Group8,65163.098599811,1.12701367848947
Cell184,Cell184,Batch1,Group10,65699.2566607881,1.06003074439238
Cell185,Cell185,Batch1,Group4,40332.5829067361,0.618688709687671
Cell186,Cell186,Batch1,Group3,47273.8748022781,0.765689792417112
Cell187,Cell187,Batch1,Group7,57293.3968582839,0.886007403808264
Cell188,Cell188,Batch1,Group6,46671.9585404259,0.681912726721987
Cell189,Cell189,Batch1,Group10,66066.155474491,1.07427591077189
Cell190,Cell190,Batch1,Group1,54554.7904338808,0.883990817401198
Cell191,Cell191,Batch1,Group9,56641.3580453085,0.957588154913458
Cell192,Cell192,Batch1,Group1,45461.5548436366,0.723793193223921
Cell193,Cell193,Batch1,Group9,62151.8378086374,0.8136361508315
Cell194,Cell194,Batch1,Group1,48933.13370018,0.781161043332118
Cell195,Cell195,Batch1,Group2,81580.6085006547,1.27433741504404
Cell196,Cell196,Batch1,Group8,60030.7857897711,0.933372985337416
Cell197,Cell197,Batch1,Group2,42102.09974645,0.718033822445342
Cell198,Cell198,Batch1,Group7,40476.418781772,0.815410746869717
Cell199,Cell199,Batch1,Group9,63438.8802742495,1.12260945377644
Cell200,Cell200,Batch1,Group5,43049.4370724004,0.682461238224708
Cell201,Cell201,Batch1,Group3,56184.944776359,0.789662971624306
Cell202,Cell202,Batch1,Group2,51198.0686414752,0.730601188934174
Cell203,Cell203,Batch1,Group10,56394.8622579575,0.909867654176662
Cell204,Cell204,Batch1,Group4,66877.9110135488,0.816217381432544
Cell205,Cell205,Batch1,Group9,59580.2474200001,0.818605019738509
Cell206,Cell206,Batch1,Group9,56685.2517009074,0.950021922714148
Cell207,Cell207,Batch1,Group5,58371.9435638404,0.90259181041997
Cell208,Cell208,Batch1,Group8,74125.9184397121,1.20812885012727
Cell209,Cell209,Batch1,Group2,46092.5641158044,0.753735468196029
Cell210,Cell210,Batch1,Group2,55176.2865640817,0.89730028768783
Cell211,Cell211,Batch1,Group3,54467.3013468772,0.952312764872575
Cell212,Cell212,Batch1,Group4,60631.5073702439,0.961863318096437
Cell213,Cell213,Batch1,Group6,58718.877329106,1.07046859563535
Cell214,Cell214,Batch1,Group2,46283.8790017689,0.702804561899184
Cell215,Cell215,Batch1,Group10,39603.5735244291,0.634918197091734
Cell216,Cell216,Batch1,Group6,69789.1042490811,1.31336239519357
Cell217,Cell217,Batch1,Group1,55658.3766758322,0.900881745146778
Cell218,Cell218,Batch1,Group10,48584.9060089578,0.798584349889164
Cell219,Cell219,Batch1,Group1,71147.9661208063,1.12651356506051
Cell220,Cell220,Batch1,Group1,59816.2612594002,0.964283221784915
Cell221,Cell221,Batch1,Group6,53777.2967382402,1.01250383595066
Cell222,Cell222,Batch1,Group3,57343.444819058,0.887007630666168
Cell223,Cell223,Batch1,Group3,52905.2089810017,0.769190586419778
Cell224,Cell224,Batch1,Group3,68455.3143806605,1.07943837197398
Cell225,Cell225,Batch1,Group3,50606.6424607067,0.861308253494526
Cell226,Cell226,Batch1,Group7,102418.646724076,1.48436892251272
Cell227,Cell227,Batch1,Group10,51600.9375543254,0.826138986555305
Cell228,Cell228,Batch1,Group8,54816.4638247868,0.943004202017561
Cell229,Cell229,Batch1,Group10,63475.5777583969,1.02218345070458
Cell230,Cell230,Batch1,Group7,63625.9684223642,1.057239788805
Cell231,Cell231,Batch1,Group2,52556.727627966,0.765641394343343
Cell232,Cell232,Batch1,Group9,63947.0736142121,1.30884524164174
Cell233,Cell233,Batch1,Group7,51525.8408335153,0.851902894491973
Cell234,Cell234,Batch1,Group1,59105.7179360515,0.952877409066553
Cell235,Cell235,Batch1,Group3,68265.8639001715,1.04315594933806
Cell236,Cell236,Batch1,Group4,59558.3391887116,0.79526101549032
Cell237,Cell237,Batch1,Group7,70131.8427319645,1.24405635355554
Cell238,Cell238,Batch1,Group7,57707.9941281982,0.805231018686851
Cell239,Cell239,Batch1,Group5,71731.3073097956,1.18613999194462
Cell240,Cell240,Batch1,Group4,82028.3808057698,1.25402635675207
Cell241,Cell241,Batch1,Group2,65259.1903381966,1.1436626158662
Cell242,Cell242,Batch1,Group7,57062.1826514492,0.92922688368449
Cell243,Cell243,Batch1,Group1,99674.4634423658,1.59873357083021
Cell244,Cell244,Batch1,Group9,67491.4853563405,1.27341785164242
Cell245,Cell245,Batch1,Group5,48425.4113963296,0.81019988759386
Cell246,Cell246,Batch1,Group7,56730.7473055903,0.995064396702362
Cell247,Cell247,Batch1,Group4,54950.333289014,0.969865132959672
Cell248,Cell248,Batch1,Group9,57369.9466119573,0.690463053087944
Cell249,Cell249,Batch1,Group7,44885.8549862169,0.648211534687109
Cell250,Cell250,Batch1,Group2,55781.0778222442,1.04154268021241
Cell251,Cell251,Batch1,Group9,49101.2994697351,0.711371020956398
Cell252,Cell252,Batch1,Group7,81971.5708641927,1.82705955018379
Cell253,Cell253,Batch1,Group7,52168.3978209244,0.802633655394551
Cell254,Cell254,Batch1,Group6,63197.6597858769,0.968929436866794
Cell255,Cell255,Batch1,Group2,88111.8780506292,1.33107609019323
Cell256,Cell256,Batch1,Group2,68247.5430922174,1.18242947295562
Cell257,Cell257,Batch1,Group6,59452.4810122664,1.07574398567624
Cell258,Cell258,Batch1,Group6,73103.7534263817,1.13862921619416
Cell259,Cell259,Batch1,Group1,71739.148430384,1.15340676138514
Cell260,Cell260,Batch1,Group9,56720.5884135741,0.965541571702924
Cell261,Cell261,Batch1,Group8,72804.0582896659,1.2395069346212
Cell262,Cell262,Batch1,Group8,47040.4158184896,0.727487579521665
Cell263,Cell263,Batch1,Group6,60517.9625462745,1.05930477328584
Cell264,Cell264,Batch1,Group8,37960.2345833946,0.562272688363609
Cell265,Cell265,Batch1,Group8,49884.8167386727,0.789049929356558
Cell266,Cell266,Batch1,Group9,62322.2866243432,0.986723795322739
Cell267,Cell267,Batch1,Group10,59875.2993531955,0.943907632727926
Cell268,Cell268,Batch1,Group9,64940.456055673,0.982997143642482
Cell269,Cell269,Batch1,Group2,47488.3489125749,0.753654804739746
Cell270,Cell270,Batch1,Group6,55788.7039175656,0.825574342361327
Cell271,Cell271,Batch1,Group1,56371.8491760983,0.895751549327204
Cell272,Cell272,Batch1,Group4,43558.9007623736,0.677282644331364
Cell273,Cell273,Batch1,Group6,66923.7732885533,0.903946956485518
Cell274,Cell274,Batch1,Group2,54666.627763445,0.956168478082884
Cell275,Cell275,Batch1,Group9,78394.4012253244,1.55319098341304
Cell276,Cell276,Batch1,Group7,52855.5662416513,1.10831588932316
Cell277,Cell277,Batch1,Group7,67193.7269370445,1.02063471234395
Cell278,Cell278,Batch1,Group9,54744.7541534739,0.937825608124217
Cell279,Cell279,Batch1,Group4,48524.4919839428,0.90486651988714
Cell280,Cell280,Batch1,Group4,98336.126857034,1.63793601058356
Cell281,Cell281,Batch1,Group2,63958.104220414,1.07109777059436
Cell282,Cell282,Batch1,Group5,66673.9273492903,1.09302209801197
Cell283,Cell283,Batch1,Group10,67991.1411538886,1.09776510924139
Cell284,Cell284,Batch1,Group10,51168.7357181605,0.81628191219757
Cell285,Cell285,Batch1,Group5,73022.1141465551,1.18254240179442
Cell286,Cell286,Batch1,Group6,57866.2996919647,1.0257003773985
Cell287,Cell287,Batch1,Group6,51812.0877042092,0.783645477785623
Cell288,Cell288,Batch1,Group9,53043.9279084005,0.650889561435692
Cell289,Cell289,Batch1,Group5,54186.8612625253,0.860969466978139
Cell290,Cell290,Batch1,Group9,47166.3384476547,0.816185116050031
Cell291,Cell291,Batch1,Group2,50708.2074832255,0.80314990151476
Cell292,Cell292,Batch1,Group7,56165.6648006479,0.931324133547838
Cell293,Cell293,Batch1,Group9,62009.7570567804,0.994822406333514
Cell294,Cell294,Batch1,Group1,56368.1137850658,0.912093965570062
Cell295,Cell295,Batch1,Group1,60986.912465942,0.969090763779359
Cell296,Cell296,Batch1,Group9,51604.2274767527,0.878747692742828
Cell297,Cell297,Batch1,Group3,69091.7142219694,1.29916562688783
Cell298,Cell298,Batch1,Group2,65031.5632393356,1.16198935313361
Cell299,Cell299,Batch1,Group10,68664.6437526964,1.08076125265701
Cell300,Cell300,Batch1,Group6,63973.8062286518,0.937744944667934
Cell301,Cell301,Batch1,Group1,41157.1855947613,0.67400770800629
Cell302,Cell302,Batch1,Group7,56377.7378058762,0.99149907193467
Cell303,Cell303,Batch1,Group9,96146.2009823942,1.8756996143222
Cell304,Cell304,Batch1,Group9,82016.6395843953,1.20290185816015
Cell305,Cell305,Batch1,Group5,49917.2409469403,0.863357105284105
Cell306,Cell306,Batch1,Group9,92285.0590030791,1.54001057465646
Cell307,Cell307,Batch1,Group1,69444.6187616887,1.12422272290209
Cell308,Cell308,Batch1,Group3,71844.7604521474,1.3651160687445
Cell309,Cell309,Batch1,Group6,38810.4602381602,0.6450979252746
Cell310,Cell310,Batch1,Group6,54535.2689098158,0.830398017047028
Cell311,Cell311,Batch1,Group1,77060.4060621377,1.25167098382862
Cell312,Cell312,Batch1,Group5,70860.8913014742,1.07506641264346
Cell313,Cell313,Batch1,Group10,49772.6435003233,0.806763624356221
Cell314,Cell314,Batch1,Group9,53627.6782534704,0.851822231035691
Cell315,Cell315,Batch1,Group7,36717.5514954495,0.499145467476833
Cell316,Cell316,Batch1,Group9,67510.6958341227,1.20814498281852
Cell317,Cell317,Batch1,Group6,49926.0143279678,0.891137599627838
Cell318,Cell318,Batch1,Group7,70215.7170486281,1.03363766149671
Cell319,Cell319,Batch1,Group5,51494.231921061,0.812571393208569
Cell320,Cell320,Batch1,Group10,50272.11576698,0.793825205968489
Cell321,Cell321,Batch1,Group7,84524.7522456398,1.52907260998454
Cell322,Cell322,Batch1,Group4,59543.2431666263,0.800649334369999
Cell323,Cell323,Batch1,Group8,51788.3669452454,0.858081715243222
Cell324,Cell324,Batch1,Group6,59920.300747513,0.922418887974237
Cell325,Cell325,Batch1,Group4,49858.441546739,0.858113980625735
Cell326,Cell326,Batch1,Group10,59745.6670657816,0.958152799107436
Cell327,Cell327,Batch1,Group10,105310.222388834,1.68381738451711
Cell328,Cell328,Batch1,Group2,64201.350890649,1.11068739493786
Cell329,Cell329,Batch1,Group8,68190.4862625753,1.05559425429684
Cell330,Cell330,Batch1,Group5,79146.2026622594,1.29064756590438
Cell331,Cell331,Batch1,Group9,46388.5132749431,0.786307371842949
Cell332,Cell332,Batch1,Group3,54083.3292213383,0.76180181382429
Cell333,Cell333,Batch1,Group7,48057.5236064702,0.797455061501207
Cell334,Cell334,Batch1,Group8,54080.0588636203,0.839609783754503
Cell335,Cell335,Batch1,Group4,42829.970837167,0.659294693580341
Cell336,Cell336,Batch1,Group4,71453.0062403092,1.31992840053497
Cell337,Cell337,Batch1,Group4,47750.430523777,0.880925606062459
Cell338,Cell338,Batch1,Group2,63068.3487258337,1.1670388854969
Cell339,Cell339,Batch1,Group10,52803.2857325251,0.867116022346875
Cell340,Cell340,Batch1,Group10,84321.1959087432,1.38402358289714
Cell341,Cell341,Batch1,Group3,59765.1740603996,0.999226631046545
Cell342,Cell342,Batch1,Group8,44780.5601976394,0.747056534015828
Cell343,Cell343,Batch1,Group4,55584.3976050705,0.973656315404955
Cell344,Cell344,Batch1,Group1,51011.526499159,0.83280178804425
Cell345,Cell345,Batch1,Group4,70775.5918270748,1.05275490063569
Cell346,Cell346,Batch1,Group2,77094.7733237255,1.18468804973154
Cell347,Cell347,Batch1,Group7,60453.447516802,1.00837386698899
Cell348,Cell348,Batch1,Group8,73235.9271517537,1.11320409477388
Cell349,Cell349,Batch1,Group10,58651.0412558553,0.948440918971009
Cell350,Cell350,Batch1,Group4,58017.6447893072,1.06227318847704
Cell351,Cell351,Batch1,Group9,48895.2833609741,0.736554152007831
Cell352,Cell352,Batch1,Group1,56845.6945368366,0.961040550842354
Cell353,Cell353,Batch1,Group5,75891.8602126225,1.20814498281852
Cell354,Cell354,Batch1,Group1,75777.3656424183,1.25270347606904
Cell355,Cell355,Batch1,Group4,49655.5368458572,0.631901383826764
Cell356,Cell356,Batch1,Group2,46161.1864290643,0.720211735764973
Cell357,Cell357,Batch1,Group10,61702.8579534186,1.01026139186601
Cell358,Cell358,Batch1,Group2,36347.2165296252,0.490933927627263
Cell359,Cell359,Batch1,Group9,61342.2097156347,1.08931157902297
Cell360,Cell360,Batch1,Group7,79703.7637459361,1.49601672559993
Cell361,Cell361,Batch1,Group6,62220.6638593612,0.910996942564618
Cell362,Cell362,Batch1,Group9,72936.8934997721,1.31773435452409
Cell363,Cell363,Batch1,Group5,104057.951806934,1.6432275333157
Cell364,Cell364,Batch1,Group10,68111.5515465035,1.10387939922761
Cell365,Cell365,Batch1,Group1,53851.6483412219,0.860308026636622
Cell366,Cell366,Batch1,Group7,82609.9975199668,1.32405836949664
Cell367,Cell367,Batch1,Group6,57159.451712839,0.613413319646788
Cell368,Cell368,Batch1,Group4,49861.9311831164,0.734892484808409
Cell369,Cell369,Batch1,Group6,80953.6530596065,1.30705451291227
Cell370,Cell370,Batch1,Group6,68915.834166503,1.06393485567646
Cell371,Cell371,Batch1,Group4,61280.8308598289,0.775498468701079
Cell372,Cell372,Batch1,Group8,69509.9675325214,1.19990117758644
Cell373,Cell373,Batch1,Group4,70188.4180022746,1.24410475162931
Cell374,Cell374,Batch1,Group9,59280.7327619104,0.886926967209886
Cell375,Cell375,Batch1,Group6,64379.6246775204,0.899784722141335
Cell376,Cell376,Batch1,Group9,48255.3170966599,0.6469531847691
Cell377,Cell377,Batch1,Group2,57745.0766644554,1.01019686110098
Cell378,Cell378,Batch1,Group7,64023.6679364744,1.00303394618308
Cell379,Cell379,Batch1,Group4,61835.9857171547,1.086294765758
Cell380,Cell380,Batch1,Group6,50077.4042198683,0.630191318553573
Cell381,Cell381,Batch1,Group9,79862.6730562211,1.47291471172058
Cell382,Cell382,Batch1,Group4,67476.9720663382,1.24810565906093
Cell383,Cell383,Batch1,Group1,94150.4072987718,1.51640844734817
Cell384,Cell384,Batch1,Group4,69204.7369053736,1.35272616185949
Cell385,Cell385,Batch1,Group6,59570.11933896,0.882893794395755
Cell386,Cell386,Batch1,Group4,66040.8045509809,1.01695645873746
Cell387,Cell387,Batch1,Group1,50896.2169730508,0.817427333276783
Cell388,Cell388,Batch1,Group5,83695.6419330548,1.34135261452364
Cell389,Cell389,Batch1,Group7,57691.6560333449,0.97688285365626
Cell390,Cell390,Batch1,Group4,55127.9564771572,0.752412587512994
Cell391,Cell391,Batch1,Group4,52662.0043687199,0.859985372811492
Cell392,Cell392,Batch1,Group2,51115.3892585721,0.961072816224867
Cell393,Cell393,Batch1,Group2,49592.0233918454,0.638499654550682
Cell394,Cell394,Batch1,Group1,46178.7299005993,0.730375331256583
Cell395,Cell395,Batch1,Group1,78862.8046410016,1.27488592654676
Cell396,Cell396,Batch1,Group1,60895.2909958259,0.964605875610046
Cell397,Cell397,Batch1,Group1,47667.5427002912,0.749315110791741
Cell398,Cell398,Batch1,Group3,76111.9197822465,1.42117717086091
Cell399,Cell399,Batch1,Group1,81758.4128322227,1.31410449899137
