ID,Gene,BaseGeneMean,OutlierFactor,GeneMean,DEFacGroup1,DEFacGroup2,DEFacGroup3,DEFacGroup4,DEFacGroup5,DEFacGroup6,DEFacGroup7,DEFacGroup8,DEFacGroup9,DEFacGroup10
Gene52,Gene52,0.240999245087797,1,0.240999245087797,1,1,1.37821733856555,1,0.27188131183549,1,1,1,1,1
Gene53,Gene53,0.00751587544111913,1,0.00751587544111913,1,1,1,1,1,1,1,1,1,1
Gene54,Gene54,0.69644514172522,1,0.69644514172522,1.57507287351365,1,1,1,1,0.184670626900305,1,1,1.00656413051899,1
Gene55,Gene55,0.522407014516364,1,0.522407014516364,1,1.42337153371689,1,1,1,1,1,1,1,1
Gene56,Gene56,1.12325437266257,1,1.12325437266257,1,1,1,1,1,1,1,1,1,1.06648091986049
Gene57,Gene57,3.38444914859466,1,3.38444914859466,1,1,1,1,1,1,1,1,1.20824693714244,0.146121459087354
Gene58,Gene58,0.0800175463110476,1,0.0800175463110476,1,1,1,1,20.4732669022312,1,1,1,0.995678676209083,1
Gene59,Gene59,2.06544528186486,1,2.06544528186486,1,1,0.459136572997402,1,1,1,1,1,2.26988705105728,1
Gene60,Gene60,0.301905667618112,87.1615193846854,90.7878911730385,1,1,1,1,1,1,1,1,1,1
Gene61,Gene61,2.91453472395522,1,2.91453472395522,1,1,1,1,1,1,1,1,1,1
Gene62,Gene62,22.209143480056,1,22.209143480056,1,1,1,0.300732934315429,1,1,1,1,1,1
Gene63,Gene63,1.09876734324942,1,1.09876734324942,1,1,1,1,1,0.734365679249211,1,1,1,1
Gene64,Gene64,4.56994557673955,1,4.56994557673955,1,1,1,1,1,1,1,1,1,1
Gene65,Gene65,0.80084610123453,1,0.80084610123453,1,1,1,1,1,1,1,1,1,1
Gene66,Gene66,0.0681587722638933,1,0.0681587722638933,1,1,1,1,1,0.574700537233158,0.411601014580448,1,1,1
Gene67,Gene67,0.101035279678447,1,0.101035279678447,1,0.65555725967509,1,1,1,1,1,1,1,1
Gene68,Gene68,0.86106097733079,1,0.86106097733079,1,1,1,4.70538375055585,0.677582742524412,1,1,1,1,1
Gene69,Gene69,0.145076507668093,1,0.145076507668093,1,1,1,1,1,1,1,1,1,1.12651840159669
Gene70,Gene70,1.02060114917013,1,1.02060114917013,1,1,1,1,1,0.98295662024445,1,1,1,1
Gene71,Gene71,1.94866468460801,1,1.94866468460801,1,1,1,1,1,1,1,1,1,1
Gene72,Gene72,5.11795898586149,1,5.11795898586149,1,1,1,1,1,1,1,1,1,1
Gene73,Gene73,1.05742109664469,1,1.05742109664469,0.390988562586821,1,1,1,1,1,1,1,1,1
Gene74,Gene74,1.95823313892592,1,1.95823313892592,1,1,1,1,1,1,1,1,1,1
Gene75,Gene75,0.00112771922014363,1,0.00112771922014363,9.78448790592725,1,1,1,1,0.554881298108618,1,1,1,1
Gene76,Gene76,0.0157843842625026,1,0.0157843842625026,1,1,1,1,1,1,1,1,1,1
Gene77,Gene77,1.71581467149747,1,1.71581467149747,1,1,1,1,1,1,1,1,1,1
Gene78,Gene78,0.418024904937011,1,0.418024904937011,1,1,1,1,1,1,1,1,2.37518131798709,1
Gene79,Gene79,1.32021924309909,1,1.32021924309909,1,1,1,1,1,5.20170084001648,1,1,1,1
Gene80,Gene80,0.033150914367806,1,0.033150914367806,1,1,1,1,1,1,1.41476710206245,1,1,1
Gene81,Gene81,0.253544362533951,1,0.253544362533951,1,1,1.42408715872385,1,1,1,1,1.09464264764811,1,1
Gene82,Gene82,0.0242361894679206,1,0.0242361894679206,1,1,1,1,1,1,1,1,1,0.585697131480647
Gene83,Gene83,6.11101934807146,100.859630303232,105.055914632572,1,1,1,1,1,1,1,1,1,2.91193572346791
Gene84,Gene84,0.769497426598925,1,0.769497426598925,1,1,1.32580690328314,2.86086705521732,1,1,1,1,1,1
Gene85,Gene85,3.04690599541645,1,3.04690599541645,0.703630031561302,1,1,1,1,1,2.51626070133915,1.12934306003501,1,1
Gene86,Gene86,0.373122094135807,1,0.373122094135807,1,1,1,1,1,1,1,1,1,1
Gene87,Gene87,0.208308110291881,1,0.208308110291881,1,1,1,1,1,1,1,1,0.384053186498427,1.56669062999603
Gene88,Gene88,1.77206468646122,1,1.77206468646122,1,1,1,1,0.685243870988516,1,1,1,1,1
Gene89,Gene89,8.44099341217158,1,8.44099341217158,1,1,1,1,1,1,1,1,1,1
Gene90,Gene90,0.535866602301271,1,0.535866602301271,1,1,1,1,1,1,1,1,1,1
Gene91,Gene91,8.13857098861128,1,8.13857098861128,1,1,1,1,1,1,1,1,1,1
Gene92,Gene92,2.45881003345218,1,2.45881003345218,1,1,1,0.121076016342392,1,1,1,1,1,1
Gene93,Gene93,2.02144357307265,1,2.02144357307265,1,1,1,1,1,1,1,1,1,1
Gene94,Gene94,0.0155008187512435,1,0.0155008187512435,1,1,1,1,1,1,1,1,1,1
Gene95,Gene95,0.349491744047875,1,0.349491744047875,1,1,1,1,1,1,1,1,1,1
Gene96,Gene96,0.300572737330314,1,0.300572737330314,1,1,1,1,1,1,1.51622144473194,1,1,1.27867906442853
Gene97,Gene97,6.86161555093671,1,6.86161555093671,1,1,1,1,1,1,1,1,1,1
Gene98,Gene98,2.97030107865924,1,2.97030107865924,1,1,1,7.86689552902542,0.790174965948761,1,1,1,1,1
Gene99,Gene99,0.000957768296958965,1,0.000957768296958965,1,1,1,1,1,1,1,1,1,1
Gene100,Gene100,0.197604996364337,1,0.197604996364337,1,1,1,1,1,1,1,1,1,1
Gene101,Gene101,6.11614842182419,1,6.11614842182419,1,0.569125700024148,1,1,1,1,1,1,1,1
Gene102,Gene102,3.00908453873437,1,3.00908453873437,1,1,1,1,1,1,1,0.690262935507076,1,1
Gene103,Gene103,0.678274770287072,1,0.678274770287072,1,1.01185219193003,1,1,1,1,1,1,1,1
Gene104,Gene104,0.693356311552039,1,0.693356311552039,1,1,1,1,1,1,1,1,1,1
Gene105,Gene105,0.147241277439006,1,0.147241277439006,1,1,1,1,1,1,1,1,1,1
Gene106,Gene106,11.6679846807326,1,11.6679846807326,1.18159294105588,1,1,1,1,1,1,1,1,1
Gene107,Gene107,0.69553287541129,1,0.69553287541129,1,1,1,1,1,1,1.22627095642657,1,0.294267217748066,1
Gene108,Gene108,0.0715612216524465,1,0.0715612216524465,1,1,1,1,1,1,1,1,1,1
Gene109,Gene109,1.15029473921052,1,1.15029473921052,1,1,1,1,1,1,0.415620377402682,1,1,1
Gene110,Gene110,2.3525785656199,1,2.3525785656199,1,1,1,4.34781436343893,1,1,1,1,2.37644336202528,1
Gene111,Gene111,0.103836001325193,1,0.103836001325193,1.42998211519094,1,1,1,1,1,1,1,1,1
Gene112,Gene112,0.0167997898015033,1,0.0167997898015033,1.69274239779074,1,1,1,1,1,1,1.81236363349682,1,1
Gene113,Gene113,0.0340501356415153,1,0.0340501356415153,1,0.460856234200753,1,1,0.848134335928204,1,1,1,1,1
Gene114,Gene114,2.69631864483772,1,2.69631864483772,1,1,1,1,1,1,1,1,1,1
Gene115,Gene115,10.6410154302531,1,10.6410154302531,1,1,1,1,1,1,1,1,1,1.31534061788448
Gene116,Gene116,1.65052108195935,1,1.65052108195935,1,1,1,1,1,1,1,1,1,1
Gene117,Gene117,0.150576473611396,1,0.150576473611396,1,1,1,1,0.25202511656027,0.0681257933647132,1,1,1.16881271850693,1
Gene118,Gene118,13.818331205236,1,13.818331205236,1,1,1,1,1,1,1,1,1,0.744918003387686
Gene119,Gene119,1.43072333869648,1,1.43072333869648,1,1,1,1,1,2.45264403064776,1,1,1,1
Gene120,Gene120,0.91765489471741,1,0.91765489471741,1,1,1,1,1,1,1.00094578076626,1,1,1
Gene121,Gene121,0.478518667482884,1,0.478518667482884,1,1,1,1,1,1,1,1,1,0.154000921661922
Gene122,Gene122,0.152755024417091,1,0.152755024417091,1,1,1,0.937842218078104,1,1,1,1,1,1
Gene123,Gene123,0.75484171142759,1,0.75484171142759,1,1,1.22352506612922,1,1,1,1,1,1,1
Gene124,Gene124,1.98303420988066,1,1.98303420988066,1,1,1,1,2.11360353702744,1,1,1,1,1
Gene125,Gene125,0.435504446653359,1,0.435504446653359,1,1,1,1,1,1,1.23822674859628,1,1,1
Gene126,Gene126,1.90752532240464,1,1.90752532240464,1,1,1,1,1,1,1,1,1,1
Gene127,Gene127,0.0207603484095417,1,0.0207603484095417,0.836847912229234,1,2.02941708584171,1,1,1,1,1,1,1
Gene128,Gene128,10.0523288154008,1,10.0523288154008,1,1,1,1,1,1,1,1,1,1
Gene129,Gene129,0.0737458305464622,1,0.0737458305464622,1,1,1,1,0.63429517253522,1,1,1,1,1
Gene130,Gene130,0.186744889037645,1,0.186744889037645,1,1,1,1,1,1,1,0.220454337382665,1,1
Gene131,Gene131,0.226303103235583,1,0.226303103235583,1,1,1.14383538288452,1,1,1,1,1,1,1
Gene132,Gene132,0.993176607846789,1,0.993176607846789,1,1,1,1,1,1,1,1,1,1
Gene133,Gene133,2.91075972309916,1,2.91075972309916,1,1,1,1,1,1,1,1,1,1
Gene134,Gene134,0.208646817165731,1,0.208646817165731,1,1,1,1,1,1,1,1,1,1
Gene135,Gene135,0.1282920541914,1,0.1282920541914,1,1,1,1,1,1,1,1,1,1
Gene136,Gene136,0.152619565085126,1,0.152619565085126,1,1,1,1,1,1,1,1,1,1
Gene137,Gene137,0.378650922144915,1,0.378650922144915,1,1,0.0878604091427024,0.765632005631514,1,1,1,1,1,1
Gene138,Gene138,2.87906732519417,1,2.87906732519417,1,1,1,1,1,1,1,1,1,1
Gene139,Gene139,2.13493690460475,1,2.13493690460475,1,1,1,1,1,1,1,1,0.839517554262931,1
Gene140,Gene140,1.34777435062323,1,1.34777435062323,1,1,1,1,1,1,1,2.95037742642058,1,1
Gene141,Gene141,10.9718967041275,1,10.9718967041275,3.08099880460917,1,1,1,2.9924814598524,1,1,1,1,1
Gene142,Gene142,6.72294888959357,1,6.72294888959357,1,1,1,1,1,1,1,1,1,1
Gene143,Gene143,1.00416208602499,1,1.00416208602499,1,1,1,1,1,1,1,1,1,1
Gene144,Gene144,0.23975293424252,1,0.23975293424252,1,1,1,1,2.35377956761287,1,1,1,1,1
Gene145,Gene145,4.59305213003313,1,4.59305213003313,1,1,1,1,1,1.07520297234571,1,1,1,1
Gene146,Gene146,2.24493363411287,49.0603762100966,51.101542604054,1,1,1,1,1,1,1,1,1,1
Gene147,Gene147,0.0956415555430822,1,0.0956415555430822,1,1,1,1,1,1,1,0.826659007188712,1,1
Gene148,Gene148,1.69740513706732,1,1.69740513706732,1,1,1,1,1,1,1,1,1,1
Gene149,Gene149,0.783678162006827,1,0.783678162006827,1,1,1,1,1,1,1,1,1,1
Gene150,Gene150,2.40808773566625,1,2.40808773566625,1,1,1,1,1,1,1.88424827013611,1,1,0.905204787073541
Gene151,Gene151,0.467821594001215,1,0.467821594001215,1,1,1,1,1.03091575128569,1,1,1,1,1
Gene152,Gene152,0.315909151583627,1,0.315909151583627,1,1,1,1,1,1,0.130873099447265,1,1,1
Gene153,Gene153,3.28055897417987,1,3.28055897417987,1,1,1,1,1,1,1,1,1,1
Gene154,Gene154,0.120112053929331,1,0.120112053929331,1,1,1,1,1,1,1,1,1,1
Gene155,Gene155,0.112631855106669,1,0.112631855106669,1,1,1,1,1,1,1,1,1,1
Gene156,Gene156,0.449178185410741,1,0.449178185410741,1,1,1,1,1,1,1,1,1,1
Gene157,Gene157,0.013506001444046,1,0.013506001444046,1,1.29526607793552,1,1,1,1,1,1,1,1
Gene158,Gene158,0.0568258447535852,1,0.0568258447535852,7.84918323527075,1,1,1,1.20977207382545,1,1,1,1,1
Gene159,Gene159,1.54727770301397,1,1.54727770301397,1,1,1,1,1,1,0.231664884593451,1,0.686613907993861,1
Gene160,Gene160,0.521865392121349,1,0.521865392121349,1,1,1,1,1,1,1,1,1,1
Gene161,Gene161,3.95928027909537,1,3.95928027909537,1,1,1,1,1,1,1,1,1,0.882969791574809
Gene162,Gene162,0.0865705368539509,1,0.0865705368539509,1,1,1,1,1,1,1,1,1,0.780190454980251
Gene163,Gene163,5.67147256268875,1,5.67147256268875,1,1.79678671908273,1,1,1,1.81771115406241,1,1,1.1947766635357e-31,1
Gene164,Gene164,0.245534362149043,1,0.245534362149043,1,1,1,1,1,1,1,108.657127316354,1,1
Gene165,Gene165,0.00867693541205295,1,0.00867693541205295,1,1,1,1,1,1,1,1,1,1
Gene166,Gene166,1.32785751633056,33.0473456139919,34.4222867882688,1,1,1,0.751025501801397,1.04067445266333,1,1,1,1,1
Gene167,Gene167,0.0816357874439317,1,0.0816357874439317,1,1,1,1,1,1,1,1,0.469751152391436,1
Gene168,Gene168,0.769640529035753,1,0.769640529035753,1,1,1,1,1,1,1,1,6.97126935423932,1
Gene169,Gene169,0.110961919246683,1,0.110961919246683,1,1,1,1,1,1,1,1,1,1
Gene170,Gene170,0.125706846185731,1,0.125706846185731,0.932453065873201,1.92300251073311,0.542654229550186,1,1,1,1,1,1,1
Gene171,Gene171,1.29772598039176,1,1.29772598039176,1,1,1,1,1,1,1,0.896179827655239,1,1
Gene172,Gene172,1.28035126022826,1,1.28035126022826,1,1,1,1,1,1,1,1,1,1
Gene173,Gene173,1.71521809490096,1,1.71521809490096,1,1,1,1.04144713515987,1,2.3459019339482,1,1,1,1
Gene174,Gene174,3.44750808925331,1,3.44750808925331,1,1,1,1,1,0.947451666857797,1,1,1,1
Gene175,Gene175,1.43217812740055,1,1.43217812740055,1,1,1,1,1,1,1,1,1,3.6062776437582
Gene176,Gene176,0.12757510088069,1,0.12757510088069,1,1,1,1,1,1,1,1,1,0.523410577188232
Gene177,Gene177,0.336072677108022,1,0.336072677108022,1,1,1,1,1,1,1,1,1,1
Gene178,Gene178,0.00645426589283318,1,0.00645426589283318,1,1,1,1,1,1,1,1,1,1
Gene179,Gene179,2.96563790524855,1,2.96563790524855,1,1,1,1,1,1,1,0.638860299696886,1,1
Gene180,Gene180,0.568131958151229,1,0.568131958151229,1,1,1,1,1,1,0.707569884242775,1,1,1
Gene181,Gene181,4.90706039063238,1,4.90706039063238,1,1,2.223294398171,1,2.33390361588237,0.0115464242999347,1,1,1,1
Gene182,Gene182,7.95100913458159,1,7.95100913458159,1,1,1,1,1,1,1,1,1,1
Gene183,Gene183,2.2123327967281,1,2.2123327967281,1,1,1,1,1,1,1,1,1,1
Gene184,Gene184,4.01668451814914,1,4.01668451814914,1,1,1,1,1,1,1,1,1,1
Gene185,Gene185,0.750521613350574,1,0.750521613350574,1,1,1,1.25027360752124,1,1,1,1,1,1
Gene186,Gene186,3.44544811991822,1,3.44544811991822,1,1,1,1,1,1,1,1,1,1
Gene187,Gene187,0.960303885644114,1,0.960303885644114,1,1,1,1,1,1,1,0.090896758333705,1,1
Gene188,Gene188,2.30668374299687,1,2.30668374299687,1,1,1,1,1,1,1,1,1,1
Gene189,Gene189,4.85309303935658,1,4.85309303935658,1,1,1,1,1,1,1,1,1.4287479259737,1
Gene190,Gene190,0.143605264363364,1,0.143605264363364,1,1,1,1,1,1,1,1,1,1
Gene191,Gene191,0.487725681790415,1,0.487725681790415,1,1,1,1,1,0.424249118462044,2.95075168475219,1,1,1
Gene192,Gene192,3.25721164503841,1,3.25721164503841,1,0.435655628931235,1,1,1,1,1,1,1,1
Gene193,Gene193,0.312979884810946,1,0.312979884810946,1,1,1,0.660303633089188,1,1,1,1,1,1.29876695227358
Gene194,Gene194,0.244163845031893,1,0.244163845031893,1,0.212708562396173,1,0.842526577150291,1,1,1,1,1.83115728383122,1
Gene195,Gene195,2.88444542892454,1,2.88444542892454,1,1,1,1,1,1,1,1,1,1
Gene196,Gene196,0.751065100114904,1,0.751065100114904,1,1,1,1,1,1.13195320142523,1,1,1,1
Gene197,Gene197,11.896399177726,1,11.896399177726,1.00349888085313,1,1,1,1,1,1,1,1,1
Gene198,Gene198,3.73956007017247,1,3.73956007017247,1,1,1,1,1,1,1,1,1,1
Gene199,Gene199,0.0419651474317161,1,0.0419651474317161,1,1,1,1,1,1,1,1,1,0.592458421314046
Gene200,Gene200,1.30262039367861,1,1.30262039367861,1,1,1,1,1,1,1,1,1,1
Gene201,Gene201,0.304837937821238,1,0.304837937821238,1,1,1,1,1,1,1,1,1,1
Gene202,Gene202,7.05882801372252,158.09182955977,164.669270553593,1,1,1,1,17.1293416644614,1,1,1,1,1
Gene203,Gene203,1.199247459878,1,1.199247459878,1,1,1,1,0.545809688192243,1,1,1,1,1
Gene204,Gene204,0.389389316715342,1,0.389389316715342,1,1,1,1.88474464939603,1,1,1,1,1,1
Gene205,Gene205,5.88833306594927,1,5.88833306594927,1,1,1,1,1,1,1,1,1,1
Gene206,Gene206,0.331343058477623,1,0.331343058477623,1,1,1,1,1,1,1,1,1,1
Gene207,Gene207,0.0368208960337867,1,0.0368208960337867,1,1,1,1,1,1,11.7511928704151,1,1,1
Gene208,Gene208,0.188538564214283,1,0.188538564214283,1,1,1,1,1,1,1,1,1,1
Gene209,Gene209,0.768569170482473,73.094454418129,76.1355632613227,1,0.579207316985115,1,1,1,1,1,1,1,1
Gene210,Gene210,1.39194210247677,1,1.39194210247677,1,1,1,1,1,1,1,1,1,1
Gene211,Gene211,0.316049083077362,1,0.316049083077362,1,1,1,1,1,1,1,1,1,1
Gene212,Gene212,1.45212538403974,1,1.45212538403974,1,1,1,1,1,1,1,1,1,1
Gene213,Gene213,0.717910696114392,1,0.717910696114392,1,1,1,1,1,1,1,1,1,1
Gene214,Gene214,0.0118009510460591,1,0.0118009510460591,1,1,1,1,1,1,1,1,1,1
Gene215,Gene215,1.45679301344268,1,1.45679301344268,1,1,1,1,1,1,1,2.69690604482872,1,1
Gene216,Gene216,4.1267521278991,1,4.1267521278991,1,1,1,1,1,1,1,1,1,1
Gene217,Gene217,4.37108768633498,1,4.37108768633498,1,1,1,1,1.0093439832079,1,1,1,1,1
Gene218,Gene218,2.66392248757598,1,2.66392248757598,1,1,1.02146192447492,0.760527529088603,1,1,1,1,1,1
Gene219,Gene219,0.852425579218066,1,0.852425579218066,1,1,1,1,1.09472944308488,0.223109617868091,1,1,1,1
Gene220,Gene220,3.22857618873948,1,3.22857618873948,1,1.44161164444066,1,1,1,1,1,1,1,1
Gene221,Gene221,1.43188772506704,1,1.43188772506704,1,1,1.50776166311185,1,1,1,1,1,1,1
Gene222,Gene222,0.0867610684715396,1,0.0867610684715396,1,1,1,1,1,1,1,1,1,1
Gene223,Gene223,0.529966546888912,1,0.529966546888912,1,1,1,2.8902035233088,1,1,1.61523038376076,0.906396524961698,1,1
Gene224,Gene224,4.87850484805624,1,4.87850484805624,1,1,1,1,1,1,1,1,1,1
Gene225,Gene225,0.0158516785859072,1,0.0158516785859072,1,1,1,1,1,1,0.709939519126428,1,1,1
Gene226,Gene226,5.44551080957931,66.5701495697213,69.3398134540857,1,1,1,1,1,1,1,1,1,1
Gene227,Gene227,2.36308116218601,30.750072284053,32.0294349593244,1,0.406825524169735,1,1,1,1,1,1,1,1
Gene228,Gene228,0.627964378324363,1,0.627964378324363,1,1,1,1,1,1,1,1,1,1
Gene229,Gene229,0.907674082390098,1,0.907674082390098,1,1,1,1,1,1,0.8509655961856,1.22163824638297,1,1
Gene230,Gene230,1.74039200316547,44.7779583136734,46.640953886893,1,1,1,1,1,1,1,1,1,1
Gene231,Gene231,1.92225329739159,1,1.92225329739159,1,1,1,1,1,328.935293655542,1,1,1,1
Gene232,Gene232,0.180034225308986,1,0.180034225308986,1,1,1,1,1,0.421656921018268,1,1,1,1
Gene233,Gene233,0.0316289165023995,1,0.0316289165023995,1,1,1,1.01097544797982,0.582221907559488,1,1,1,1,1
Gene234,Gene234,0.112786880236302,1,0.112786880236302,1,123.216452210291,1,1,0.854978118019169,1,1,1,1,1
Gene235,Gene235,0.321343740778847,1,0.321343740778847,1,1,1,0.0555629811893848,1,1,0.841494523476904,2.10505663398032,1,1
Gene236,Gene236,0.0206013488533689,1,0.0206013488533689,1,1,1,1,1,1,1,1,1,1
Gene237,Gene237,1.62935358056506,1,1.62935358056506,1,1,1,1,1,1,1,1,1,1
Gene238,Gene238,1.3080927621291,66.2393313485149,68.9952314771196,1,1,1,1,1,1,1,1,1,1.23083498430342
Gene239,Gene239,2.06752503339358,1,2.06752503339358,0.850703452845233,1,1,0.550103822525091,1,1,1,1,1,0.951985283822122
Gene240,Gene240,0.567736139676206,1,0.567736139676206,1,1,0.578473441124275,1,1,1,1,1,1,1
Gene241,Gene241,2.99949547449562,1,2.99949547449562,1,1,1,1,1,1,1,1,1,1
Gene242,Gene242,0.771712596582813,1,0.771712596582813,1,1,1,1,1,2.16010786871779,1,1,1,1
Gene243,Gene243,0.637262292217045,1,0.637262292217045,1,1,1,1,0.416205359364785,1,1,1,1,1
Gene244,Gene244,0.70436466808516,1,0.70436466808516,1,1,1,1,1.38038219852027,1,1,1,1,1
Gene245,Gene245,2.78685228414365,1,2.78685228414365,1,1,1,1,1,0.387299733340266,1,1,1,1
Gene246,Gene246,3.78098211939327,1,3.78098211939327,1,1.40740942376431,1,1,1,1,1,1,1,1
Gene247,Gene247,1.14701235720027,1,1.14701235720027,0.0173983001728221,0.328477994666372,1,1,1,1,1,1,1,1
Gene248,Gene248,0.253135215376976,1,0.253135215376976,1,1,1,1,1,1,1,1,1,1
Gene249,Gene249,1.21986457207812,1,1.21986457207812,1,1,1,1,1,1,2.3674460396003,1,1,1
Gene250,Gene250,5.2786153947828,1,5.2786153947828,1,1,1,1,1,1,1,1,1,1
Gene251,Gene251,0.239635904140808,1,0.239635904140808,1,1,1,1,1,1,1,1,1,1
Gene252,Gene252,5.0820457133506,1,5.0820457133506,1,1,1,1,1,1,1,1,1,1
Gene253,Gene253,0.00849324845811789,1,0.00849324845811789,1,1,1.32526781504236,1,1,1,1,1,1,1
Gene254,Gene254,0.779379207546791,1,0.779379207546791,1,1,1,1,1,1,1,1,1,1
